Gene stable ID,Brain,Colon,Esophagus,Heart,Kidney,Liver,Pancreas,Stomach,Gene type
ENSG00000295604,0.0067256936,0.000523907,0.00023679467,7.6341734e-05,0.000121095654,0.0004300993,3.681771e-05,0.0001657332,lncRNA
ENSG00000295605,0.0018203529,0.0010264671,0.0004354677,0.0008431906,0.004108687,0.0007763049,0.0001345651,0.00022823218,lncRNA
ENSG00000295606,0.041436948,0.007491399,0.0075355163,0.00749807,0.031327497,0.010329334,0.008361778,0.0077014747,lncRNA
ENSG00000295607,0.17664684,0.019831147,0.1023263,0.010735366,0.0504319,0.0007960993,0.03783862,0.021933176,lncRNA
ENSG00000295608,0.007364415,1.0854054e-05,0.00027302408,0.00030579956,0.0054321997,0.00021011347,0.0011041459,0.0014810102,lncRNA
ENSG00000295609,0.00045079188,0.00066613406,0.0006466794,0.0003780876,0.0012722956,0.0,0.0004028151,0.00052799593,lncRNA
ENSG00000295610,0.077692226,0.0049301945,0.0028677967,0.0005036495,0.010478236,0.0064138193,0.0018232395,0.0022466884,lncRNA
ENSG00000295611,0.0038204058,0.0005612519,0.00037977568,0.00025957392,0.0010176608,0.0,0.00043208853,5.823014e-05,lncRNA
ENSG00000295612,0.009619108,0.0023950639,0.003591631,0.005187459,0.011636973,0.0006441241,0.010029054,0.004732994,lncRNA
ENSG00000295613,0.063223176,0.0627055,0.059612848,0.032148317,0.04077547,0.0219815,0.03443542,0.05334759,lncRNA
ENSG00000295614,0.0010455315,0.002671587,0.00534407,0.057063203,0.0063380264,0.04002106,0.00340769,0.0050921873,lncRNA
ENSG00000295615,0.009742472,0.006265813,0.01305793,0.018176295,0.027444601,0.0024733865,0.059488717,0.0043902197,lncRNA
ENSG00000295616,0.2575604,0.012228214,0.008296739,0.007290196,0.003801974,0.004435525,0.002035638,0.0027775723,lncRNA
ENSG00000295617,0.018174402,0.09742645,0.043711867,0.024242558,0.03481788,0.052981306,0.00772431,0.04165752,lncRNA
ENSG00000295618,0.45016128,0.16756602,0.13261698,0.19836189,0.1708744,0.08529175,0.07054631,0.109767504,lncRNA
ENSG00000295619,0.01901833,0.06785479,0.070756964,0.079252064,0.102203295,0.013605829,0.01268277,0.06586805,lncRNA
ENSG00000295620,0.21851866,0.071006596,0.050781682,0.054040834,0.039045513,0.022060614,0.02893363,0.043438904,lncRNA
ENSG00000295621,0.0094009945,0.022099923,0.023876926,0.009976232,0.009484304,0.006027982,0.012590301,0.019379936,lncRNA
ENSG00000295622,0.7395064,0.24530439,0.1334697,0.1392481,0.092862085,0.0085296985,0.044407845,0.22754185,lncRNA
ENSG00000295623,0.011663774,0.0006412454,0.0003121692,0.00014767799,0.0,0.00010276241,0.0,0.00032942157,lncRNA
ENSG00000295624,0.51111156,0.064790964,0.061786138,0.034826774,0.08471401,0.24642198,0.042727884,0.08656557,lncRNA
ENSG00000295625,0.006289863,0.01837815,0.01480018,0.017714694,0.0010708,0.0011658972,0.00058779685,0.009226083,lncRNA
ENSG00000295626,0.05428653,0.034705278,0.043884743,0.014600176,0.021935983,0.018710727,0.016122947,0.023431115,lncRNA
ENSG00000295627,0.064685896,0.5188986,0.7906866,0.3238305,0.07604848,0.012011001,0.04821056,0.2780372,lncRNA
ENSG00000295628,0.0048706722,0.017135076,0.009122319,0.004177079,0.016931966,0.007919337,0.0067009297,0.02443433,lncRNA
ENSG00000295629,0.00058408285,0.0008376822,0.00036255197,0.0007238357,0.0,0.0,0.00014821094,0.0007211609,lncRNA
ENSG00000295630,0.0044729784,0.00022906812,0.00032622053,0.000778115,0.0,0.0,0.0,0.00027424033,lncRNA
ENSG00000295631,0.0049141156,0.010187502,0.045515552,0.0026588181,0.028974513,0.0046585356,0.0030243022,0.007943638,lncRNA
ENSG00000295632,0.004846296,0.00039337733,0.001110294,5.050931e-05,0.0,0.00039760993,0.00022850522,0.0003676395,lncRNA
ENSG00000295633,0.024439573,0.0031548247,0.006595622,0.0057317317,0.0,0.002072142,0.002850685,0.0018488147,lncRNA
ENSG00000295634,0.003306457,0.0018954887,0.0019779848,0.0022543177,0.0069718086,0.0016509433,0.0011603151,0.0034955193,lncRNA
ENSG00000295635,0.001352645,0.0020800172,0.002002362,0.0013291205,0.0030320869,0.0012277908,0.0019800623,0.0023356965,lncRNA
ENSG00000295636,0.5019729,0.20172909,0.20912006,0.19808672,0.3570372,0.037925508,0.06842464,0.24269949,lncRNA
ENSG00000295637,0.026446799,0.0012004498,0.0025391781,0.0010454808,0.002494826,0.0,0.00096913544,0.0010818433,lncRNA
ENSG00000295638,0.012922083,0.025083695,0.030341072,0.009517621,0.042766728,0.006632741,0.047854587,0.022197621,lncRNA
ENSG00000295639,0.0033200986,0.006475704,0.009843326,0.00723378,0.010716618,0.0040268507,0.0017998568,0.0063888985,lncRNA
ENSG00000295640,0.0049696635,0.0014561038,0.0007883175,0.00032195728,0.0,0.00024783687,0.00028123698,0.00028112627,lncRNA
ENSG00000295641,0.016072055,0.0054401727,0.0025911971,0.00177139,12.667087,0.005912805,0.0036003906,0.0030782504,lncRNA
ENSG00000295642,0.03329924,0.042613447,0.046071965,0.01788441,0.034967937,0.02770432,0.030889789,0.03267661,lncRNA
ENSG00000295643,0.25051987,0.37921816,0.35540614,0.4224373,0.31147963,0.42163494,0.18208803,0.4985289,lncRNA
ENSG00000295644,0.060768664,0.005319135,0.007006551,0.0021363888,0.0020429392,0.0060519148,0.0005400026,0.0039903955,lncRNA
ENSG00000295645,0.023695823,0.004858331,0.009505055,0.009074825,0.0073903655,0.0014596242,0.0040542916,0.010875916,lncRNA
ENSG00000295646,0.37799543,0.046225756,0.025660183,0.14701203,0.047362495,0.033576183,0.068739794,0.026665026,lncRNA
ENSG00000295647,0.31963533,0.05777603,0.06489185,0.01871209,0.060074028,0.01164228,0.012294834,0.046108156,lncRNA
ENSG00000295649,0.0004290377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lncRNA
ENSG00000295650,0.00064518215,0.021628985,0.0015613815,0.0007124567,0.0012104695,0.00022870212,0.00036492967,0.0010149878,lncRNA
ENSG00000295651,0.0006828247,0.0024728496,0.0013242909,0.00037945455,0.025031583,0.0031064965,0.0,0.0014723727,lncRNA
ENSG00000295652,0.10504882,0.109786086,0.07420957,0.05400113,0.062080424,0.025894962,0.031437233,0.05887413,lncRNA
ENSG00000295653,0.016324317,0.06804017,1.1733825,0.02885057,0.17981121,0.03847785,0.064528294,0.07806334,lncRNA
ENSG00000295654,0.008683984,0.02438634,0.027232708,0.0042670458,0.018172156,0.027349273,0.0060645887,0.041908856,lncRNA
ENSG00000295655,0.046666916,0.045293726,0.038548615,0.011422512,0.033522114,0.32165855,0.004571659,0.022581106,lncRNA
ENSG00000295656,0.0021861638,0.0020226345,0.0020287882,0.0020268708,0.0001952261,0.00028995748,0.00050085154,0.002232163,lncRNA
ENSG00000295657,0.14858218,0.004461249,0.004185248,0.0025119616,0.6074505,0.0049563833,0.065503605,0.0045739715,lncRNA
ENSG00000295658,0.0046357615,0.0011137945,0.00958473,0.36445078,0.0,0.0012303228,0.0017236928,0.0016610855,lncRNA
ENSG00000295659,0.03696355,0.07752261,0.068727136,0.032119967,0.031786583,0.020559497,0.01671276,0.05281461,lncRNA
ENSG00000295660,0.063409984,0.2125209,0.12997226,0.0108448,0.058253843,0.069020465,0.83271235,0.032875482,lncRNA
