Gene ID,ID,Label,+/-
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100577,GO:0006749,glutathione metabolic process,+
ENSG00000100577,GO:0006749,glutathione metabolic process,+
ENSG00000100577,GO:0006749,glutathione metabolic process,+
ENSG00000100577,GO:0006749,glutathione metabolic process,+
ENSG00000100577,GO:0006749,glutathione metabolic process,+
ENSG00000100577,GO:0006749,glutathione metabolic process,+
ENSG00000065621,GO:0006749,glutathione metabolic process,+
ENSG00000065621,GO:0006749,glutathione metabolic process,+
ENSG00000065621,GO:0006749,glutathione metabolic process,+
ENSG00000001084,GO:0006749,glutathione metabolic process,+
ENSG00000148834,GO:0006749,glutathione metabolic process,+
ENSG00000148834,GO:0006749,glutathione metabolic process,+
ENSG00000148834,GO:0006749,glutathione metabolic process,+
ENSG00000148834,GO:0006749,glutathione metabolic process,+
ENSG00000148834,GO:0006749,glutathione metabolic process,+
ENSG00000167741,GO:0006749,glutathione metabolic process,+
ENSG00000167741,GO:0006749,glutathione metabolic process,+
ENSG00000109846,GO:0006749,glutathione metabolic process,+
ENSG00000243955,GO:0006749,glutathione metabolic process,+
ENSG00000243955,GO:0006749,glutathione metabolic process,+
ENSG00000244067,GO:0006749,glutathione metabolic process,+
ENSG00000244067,GO:0006749,glutathione metabolic process,+
ENSG00000084207,GO:0006749,glutathione metabolic process,+
ENSG00000084207,GO:0006749,glutathione metabolic process,+
ENSG00000084207,GO:0006749,glutathione metabolic process,+
ENSG00000084207,GO:0006749,glutathione metabolic process,+
ENSG00000124767,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000104687,GO:0006749,glutathione metabolic process,+
ENSG00000144035,GO:0006749,glutathione metabolic process,+
ENSG00000144746,GO:0006749,glutathione metabolic process,+
ENSG00000133433,GO:0006749,glutathione metabolic process,+
ENSG00000291237,GO:0006749,glutathione metabolic process,+
ENSG00000163106,GO:0006749,glutathione metabolic process,+
ENSG00000106688,GO:0006749,glutathione metabolic process,+
ENSG00000160211,GO:0006749,glutathione metabolic process,+
ENSG00000160211,GO:0006749,glutathione metabolic process,+
ENSG00000160211,GO:0006749,glutathione metabolic process,+
ENSG00000160211,GO:0006749,glutathione metabolic process,+
ENSG00000160211,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000134184,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000063854,GO:0006749,glutathione metabolic process,+
ENSG00000015413,GO:0006749,glutathione metabolic process,+
ENSG00000015413,GO:0006749,glutathione metabolic process,+
ENSG00000015413,GO:0006749,glutathione metabolic process,+
ENSG00000015413,GO:0006749,glutathione metabolic process,+
ENSG00000082641,GO:0006749,glutathione metabolic process,+
ENSG00000170899,GO:0006749,glutathione metabolic process,+
ENSG00000170899,GO:0006749,glutathione metabolic process,+
ENSG00000170899,GO:0006749,glutathione metabolic process,+
ENSG00000170899,GO:0006749,glutathione metabolic process,+
ENSG00000170899,GO:0006749,glutathione metabolic process,+
ENSG00000170899,GO:0006749,glutathione metabolic process,+
