




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5114)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	23	14	5.72	+	2.45	2.62E-04	8.38E-03
thymic T cell selection (GO:0045061)	35	21	8.70	+	2.41	1.05E-05	5.06E-04
ribonucleoside monophosphate biosynthetic process (GO:0009156)	35	21	8.70	+	2.41	1.05E-05	5.04E-04
nucleobase biosynthetic process (GO:0046112)	20	12	4.97	+	2.41	8.77E-04	2.25E-02
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	20	12	4.97	+	2.41	8.77E-04	2.24E-02
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	25	15	6.21	+	2.41	1.98E-04	6.59E-03
regulation of mitotic sister chromatid segregation (GO:0033047)	66	39	16.40	+	2.38	3.44E-09	3.26E-07
base-excision repair (GO:0006284)	46	27	11.43	+	2.36	1.07E-06	6.24E-05
mitochondrial RNA processing (GO:0000963)	29	17	7.21	+	2.36	1.11E-04	4.05E-03
ribosomal large subunit assembly (GO:0000027)	29	17	7.21	+	2.36	1.11E-04	4.04E-03
positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996)	24	14	5.96	+	2.35	4.86E-04	1.39E-02
reticulophagy (GO:0061709)	24	14	5.96	+	2.35	4.86E-04	1.39E-02
leukocyte migration involved in inflammatory response (GO:0002523)	19	11	4.72	+	2.33	2.16E-03	4.72E-02
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	19	11	4.72	+	2.33	2.16E-03	4.72E-02
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	19	11	4.72	+	2.33	2.16E-03	4.71E-02
GMP metabolic process (GO:0046037)	26	15	6.46	+	2.32	3.60E-04	1.10E-02
RNA decapping (GO:0110154)	26	15	6.46	+	2.32	3.60E-04	1.10E-02
DNA synthesis involved in DNA replication (GO:0090592)	26	15	6.46	+	2.32	3.60E-04	1.09E-02
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	26	15	6.46	+	2.32	3.60E-04	1.09E-02
regulation of spindle checkpoint (GO:0090231)	33	19	8.20	+	2.32	6.18E-05	2.46E-03
kinetochore organization (GO:0051383)	33	19	8.20	+	2.32	6.18E-05	2.45E-03
regulation of B cell differentiation (GO:0045577)	35	20	8.70	+	2.30	4.60E-05	1.91E-03
homologous chromosome pairing at meiosis (GO:0007129)	56	32	13.92	+	2.30	3.67E-07	2.39E-05
T-helper 17 cell differentiation (GO:0072539)	28	16	6.96	+	2.30	2.66E-04	8.48E-03
purine nucleoside monophosphate biosynthetic process (GO:0009127)	21	12	5.22	+	2.30	1.59E-03	3.61E-02
positive regulation of DNA biosynthetic process (GO:2000573)	44	25	10.93	+	2.29	9.45E-06	4.66E-04
nucleoside monophosphate biosynthetic process (GO:0009124)	44	25	10.93	+	2.29	9.45E-06	4.64E-04
positive regulation of telomere maintenance via telomerase (GO:0032212)	23	13	5.72	+	2.27	1.16E-03	2.79E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	101	57	25.10	+	2.27	1.24E-11	2.09E-09
