




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of calcium-mediated signaling (GO:0050848)	99	39	24.54	+	1.59	1.46E-03	2.29E-02
multi-multicellular organism process (GO:0044706)	201	79	49.83	+	1.59	5.18E-06	1.94E-04
cell activation involved in immune response (GO:0002263)	229	90	56.77	+	1.59	1.42E-06	6.43E-05
hematopoietic or lymphoid organ development (GO:0048534)	107	42	26.53	+	1.58	1.01E-03	1.71E-02
microtubule-based movement (GO:0007018)	502	197	124.45	+	1.58	4.58E-13	5.79E-11
regulation of sequestering of calcium ion (GO:0051282)	130	51	32.23	+	1.58	3.13E-04	6.53E-03
monocarboxylic acid transport (GO:0015718)	148	58	36.69	+	1.58	1.14E-04	2.80E-03
membrane lipid biosynthetic process (GO:0046467)	148	58	36.69	+	1.58	1.14E-04	2.80E-03
calcium ion transmembrane transport (GO:0070588)	217	85	53.80	+	1.58	2.56E-06	1.06E-04
male gonad development (GO:0008584)	143	56	35.45	+	1.58	1.35E-04	3.21E-03
negative regulation of mononuclear cell proliferation (GO:0032945)	92	36	22.81	+	1.58	2.31E-03	3.31E-02
positive regulation of transmembrane transport (GO:0034764)	179	70	44.38	+	1.58	2.49E-05	7.71E-04
spindle organization (GO:0007051)	174	68	43.14	+	1.58	2.92E-05	8.81E-04
myeloid leukocyte differentiation (GO:0002573)	164	64	40.66	+	1.57	5.54E-05	1.52E-03
regulation of hemopoiesis (GO:1903706)	436	170	108.09	+	1.57	3.62E-11	3.37E-09
sexual reproduction (GO:0019953)	1159	451	287.33	+	1.57	8.29E-28	8.61E-25
development of primary male sexual characteristics (GO:0046546)	144	56	35.70	+	1.57	2.02E-04	4.56E-03
positive regulation of JNK cascade (GO:0046330)	103	40	25.53	+	1.57	1.81E-03	2.71E-02
female sex differentiation (GO:0046660)	116	45	28.76	+	1.56	7.78E-04	1.39E-02
peptide transport (GO:0015833)	98	38	24.30	+	1.56	2.14E-03	3.10E-02
regulation of cell killing (GO:0031341)	111	43	27.52	+	1.56	1.25E-03	2.02E-02
skeletal system development (GO:0001501)	525	203	130.15	+	1.56	1.41E-12	1.63E-10
bone morphogenesis (GO:0060349)	101	39	25.04	+	1.56	2.42E-03	3.47E-02
energy homeostasis (GO:0097009)	96	37	23.80	+	1.55	2.85E-03	3.97E-02
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	148	57	36.69	+	1.55	2.47E-04	5.36E-03
fat cell differentiation (GO:0045444)	130	50	32.23	+	1.55	5.01E-04	9.52E-03
homeostasis of number of cells (GO:0048872)	333	128	82.55	+	1.55	2.87E-08	1.79E-06
positive regulation of cell adhesion (GO:0045785)	492	189	121.97	+	1.55	1.31E-11	1.28E-09
endocrine system development (GO:0035270)	125	48	30.99	+	1.55	7.96E-04	1.41E-02
regulation of calcium ion transmembrane transport (GO:1903169)	146	56	36.19	+	1.55	3.28E-04	6.74E-03
skeletal muscle tissue development (GO:0007519)	146	56	36.19	+	1.55	3.28E-04	6.73E-03
recombinational repair (GO:0000725)	128	49	31.73	+	1.54	6.60E-04	1.21E-02
hemopoiesis (GO:0030097)	721	276	178.74	+	1.54	3.61E-16	7.94E-14
cilium organization (GO:0044782)	400	153	99.16	+	1.54	1.81E-09	1.37E-07
amide biosynthetic process (GO:0043604)	157	60	38.92	+	1.54	1.85E-04	4.22E-03
regulation of leukocyte chemotaxis (GO:0002688)	123	47	30.49	+	1.54	1.05E-03	1.77E-02
negative regulation of immune system process (GO:0002683)	555	212	137.59	+	1.54	1.38E-12	1.61E-10
positive regulation of cytokine production (GO:0001819)	521	199	129.16	+	1.54	7.69E-12	7.76E-10
cilium assembly (GO:0060271)	362	138	89.74	+	1.54	1.72E-08	1.11E-06
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	126	48	31.24	+	1.54	8.69E-04	1.52E-02
negative regulation of mitotic cell cycle (GO:0045930)	210	80	52.06	+	1.54	1.79E-05	5.76E-04
response to nutrient (GO:0007584)	147	56	36.44	+	1.54	3.51E-04	7.14E-03
regulation of calcium ion transport (GO:0051924)	226	86	56.03	+	1.53	8.76E-06	3.11E-04
inorganic ion import across plasma membrane (GO:0099587)	113	43	28.01	+	1.53	2.03E-03	2.97E-02
inorganic cation import across plasma membrane (GO:0098659)	113	43	28.01	+	1.53	2.03E-03	2.97E-02
regulation of leukocyte mediated immunity (GO:0002703)	263	100	65.20	+	1.53	1.75E-06	7.74E-05
regulation of lymphocyte mediated immunity (GO:0002706)	203	77	50.33	+	1.53	3.79E-05	1.09E-03
response to organophosphorus (GO:0046683)	124	47	30.74	+	1.53	1.14E-03	1.88E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	161	61	39.91	+	1.53	2.23E-04	4.95E-03
gonad development (GO:0008406)	227	86	56.28	+	1.53	1.27E-05	4.24E-04
muscle cell development (GO:0055001)	169	64	41.90	+	1.53	1.55E-04	3.59E-03
reproductive structure development (GO:0048608)	296	112	73.38	+	1.53	6.01E-07	3.02E-05
proteoglycan metabolic process (GO:0006029)	111	42	27.52	+	1.53	2.68E-03	3.77E-02
membrane lipid metabolic process (GO:0006643)	212	80	52.56	+	1.52	2.80E-05	8.53E-04
cellular response to alcohol (GO:0097306)	106	40	26.28	+	1.52	3.15E-03	4.30E-02
negative regulation of immune response (GO:0050777)	220	83	54.54	+	1.52	1.95E-05	6.18E-04
sex differentiation (GO:0007548)	281	106	69.66	+	1.52	1.33E-06	6.16E-05
multi-organism reproductive process (GO:0044703)	191	72	47.35	+	1.52	6.87E-05	1.84E-03
cell cycle phase transition (GO:0044770)	154	58	38.18	+	1.52	4.75E-04	9.11E-03
positive regulation of leukocyte mediated immunity (GO:0002705)	154	58	38.18	+	1.52	4.75E-04	9.10E-03
positive regulation of lymphocyte mediated immunity (GO:0002708)	133	50	32.97	+	1.52	1.15E-03	1.89E-02
calcium ion transport (GO:0006816)	269	101	66.69	+	1.51	3.23E-06	1.30E-04
reproductive system development (GO:0061458)	301	113	74.62	+	1.51	7.70E-07	3.77E-05
development of primary sexual characteristics (GO:0045137)	232	87	57.52	+	1.51	1.61E-05	5.25E-04
cell cycle checkpoint signaling (GO:0000075)	160	60	39.67	+	1.51	4.30E-04	8.44E-03
positive regulation of monoatomic ion transmembrane transport (GO:0034767)	120	45	29.75	+	1.51	1.97E-03	2.91E-02
skeletal muscle organ development (GO:0060538)	160	60	39.67	+	1.51	4.30E-04	8.43E-03
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	195	73	48.34	+	1.51	8.13E-05	2.11E-03
double-strand break repair via homologous recombination (GO:0000724)	123	46	30.49	+	1.51	2.20E-03	3.17E-02
myeloid leukocyte migration (GO:0097529)	123	46	30.49	+	1.51	2.20E-03	3.17E-02
chromosome localization (GO:0050000)	115	43	28.51	+	1.51	3.20E-03	4.37E-02
spindle assembly (GO:0051225)	107	40	26.53	+	1.51	3.45E-03	4.65E-02
positive regulation of leukocyte migration (GO:0002687)	150	56	37.19	+	1.51	5.96E-04	1.11E-02
regulation of T cell mediated immunity (GO:0002709)	110	41	27.27	+	1.50	3.75E-03	4.99E-02
negative regulation of cytokine production (GO:0001818)	314	117	77.84	+	1.50	9.02E-07	4.37E-05
embryonic skeletal system development (GO:0048706)	137	51	33.96	+	1.50	1.37E-03	2.15E-02
positive regulation of cell development (GO:0010720)	430	160	106.60	+	1.50	9.19E-09	6.36E-07
external encapsulating structure organization (GO:0045229)	293	109	72.64	+	1.50	2.18E-06	9.17E-05
myeloid leukocyte activation (GO:0002274)	164	61	40.66	+	1.50	3.76E-04	7.49E-03
inner ear morphogenesis (GO:0042472)	113	42	28.01	+	1.50	3.12E-03	4.26E-02
positive regulation of adaptive immune response (GO:0002821)	132	49	32.72	+	1.50	1.61E-03	2.48E-02
extracellular matrix organization (GO:0030198)	291	108	72.14	+	1.50	2.82E-06	1.15E-04
taxis (GO:0042330)	353	131	87.51	+	1.50	2.09E-07	1.17E-05
regulation of epithelial cell differentiation (GO:0030856)	151	56	37.43	+	1.50	8.51E-04	1.50E-02
multicellular organismal reproductive process (GO:0048609)	1056	391	261.79	+	1.49	1.23E-19	4.46E-17
extracellular structure organization (GO:0043062)	292	108	72.39	+	1.49	3.03E-06	1.23E-04
male gamete generation (GO:0048232)	748	276	185.44	+	1.49	7.77E-14	1.08E-11
negative regulation of inflammatory response (GO:0050728)	198	73	49.09	+	1.49	1.77E-04	4.06E-03
spermatogenesis (GO:0007283)	730	269	180.97	+	1.49	2.10E-13	2.80E-11
regulation of cold-induced thermogenesis (GO:0120161)	152	56	37.68	+	1.49	9.08E-04	1.58E-02
microtubule cytoskeleton organization (GO:0000226)	600	221	148.75	+	1.49	3.54E-11	3.34E-09
chemotaxis (GO:0006935)	351	129	87.02	+	1.48	5.17E-07	2.63E-05
regulation of ERK1 and ERK2 cascade (GO:0070372)	289	106	71.65	+	1.48	7.08E-06	2.59E-04
monocarboxylic acid biosynthetic process (GO:0072330)	180	66	44.62	+	1.48	3.56E-04	7.24E-03
developmental process involved in reproduction (GO:0003006)	1094	401	271.21	+	1.48	3.52E-19	1.19E-16
mitotic cell cycle phase transition (GO:0044772)	142	52	35.20	+	1.48	1.70E-03	2.56E-02
positive regulation of MAPK cascade (GO:0043410)	470	172	116.52	+	1.48	8.33E-09	5.82E-07
regulation of cytokine production (GO:0001817)	828	303	205.27	+	1.48	1.42E-14	2.24E-12
antigen receptor-mediated signaling pathway (GO:0050851)	164	60	40.66	+	1.48	7.34E-04	1.32E-02
regulation of muscle contraction (GO:0006937)	178	65	44.13	+	1.47	4.59E-04	8.90E-03
gamete generation (GO:0007276)	908	331	225.10	+	1.47	1.32E-15	2.55E-13
inflammatory response (GO:0006954)	609	222	150.98	+	1.47	9.46E-11	8.28E-09
positive regulation of cell population proliferation (GO:0008284)	929	338	230.31	+	1.47	1.01E-15	2.02E-13
anatomical structure homeostasis (GO:0060249)	237	86	58.75	+	1.46	7.59E-05	1.99E-03
tissue homeostasis (GO:0001894)	237	86	58.75	+	1.46	7.59E-05	1.99E-03
regulation of hormone secretion (GO:0046883)	260	94	64.46	+	1.46	4.62E-05	1.29E-03
sulfur compound metabolic process (GO:0006790)	274	99	67.93	+	1.46	2.89E-05	8.72E-04
response to lipopolysaccharide (GO:0032496)	310	112	76.85	+	1.46	7.92E-06	2.86E-04
cell cycle process (GO:0022402)	908	328	225.10	+	1.46	8.85E-15	1.50E-12
response to purine-containing compound (GO:0014074)	144	52	35.70	+	1.46	2.53E-03	3.60E-02
inner ear development (GO:0048839)	205	74	50.82	+	1.46	3.19E-04	6.60E-03
import across plasma membrane (GO:0098739)	183	66	45.37	+	1.45	7.38E-04	1.32E-02
response to molecule of bacterial origin (GO:0002237)	330	119	81.81	+	1.45	4.44E-06	1.70E-04
myeloid cell differentiation (GO:0030099)	319	115	79.08	+	1.45	7.74E-06	2.81E-04
regulation of cell adhesion (GO:0030155)	805	290	199.57	+	1.45	4.32E-13	5.51E-11
immune response-activating cell surface receptor signaling pathway (GO:0002429)	261	94	64.70	+	1.45	4.87E-05	1.36E-03
homophilic cell-cell adhesion (GO:0007156)	175	63	43.38	+	1.45	1.06E-03	1.78E-02
protein O-linked glycosylation (GO:0006493)	150	54	37.19	+	1.45	2.26E-03	3.24E-02
microtubule-based process (GO:0007017)	954	343	236.51	+	1.45	4.39E-15	7.87E-13
regulation of mononuclear cell migration (GO:0071675)	142	51	35.20	+	1.45	3.25E-03	4.42E-02
positive regulation of chemotaxis (GO:0050921)	145	52	35.95	+	1.45	2.70E-03	3.78E-02
mitotic cell cycle process (GO:1903047)	508	182	125.94	+	1.45	2.14E-08	1.37E-06
cell projection assembly (GO:0030031)	469	168	116.27	+	1.44	7.27E-08	4.31E-06
regulation of chemotaxis (GO:0050920)	207	74	51.32	+	1.44	4.66E-04	9.01E-03
response to mechanical stimulus (GO:0009612)	221	79	54.79	+	1.44	2.90E-04	6.10E-03
cell motility (GO:0048870)	1204	430	298.48	+	1.44	2.87E-18	8.35E-16
female pregnancy (GO:0007565)	171	61	42.39	+	1.44	1.74E-03	2.62E-02
response to monosaccharide (GO:0034284)	146	52	36.19	+	1.44	3.71E-03	4.94E-02
negative regulation of cell adhesion (GO:0007162)	309	110	76.60	+	1.44	1.96E-05	6.20E-04
negative regulation of cell cycle (GO:0045786)	354	126	87.76	+	1.44	5.17E-06	1.94E-04
digestive system development (GO:0055123)	149	53	36.94	+	1.43	3.07E-03	4.21E-02
response to carbohydrate (GO:0009743)	172	61	42.64	+	1.43	1.81E-03	2.70E-02
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	161	57	39.91	+	1.43	2.43E-03	3.47E-02
carbohydrate metabolic process (GO:0005975)	435	154	107.84	+	1.43	6.81E-07	3.38E-05
cell fate commitment (GO:0045165)	260	92	64.46	+	1.43	1.20E-04	2.90E-03
locomotion (GO:0040011)	379	134	93.96	+	1.43	3.45E-06	1.38E-04
monosaccharide metabolic process (GO:0005996)	184	65	45.62	+	1.42	1.43E-03	2.24E-02
ear development (GO:0043583)	235	83	58.26	+	1.42	3.29E-04	6.75E-03
plasma membrane bounded cell projection assembly (GO:0120031)	456	161	113.05	+	1.42	3.99E-07	2.11E-05
multicellular organismal-level homeostasis (GO:0048871)	706	249	175.02	+	1.42	2.48E-10	2.05E-08
negative regulation of cell cycle phase transition (GO:1901988)	227	80	56.28	+	1.42	4.70E-04	9.06E-03
cell cycle (GO:0007049)	1006	354	249.40	+	1.42	5.12E-14	7.60E-12
regulation of myeloid cell differentiation (GO:0045637)	208	73	51.57	+	1.42	8.85E-04	1.55E-02
negative regulation of cell-cell adhesion (GO:0022408)	214	75	53.05	+	1.41	7.85E-04	1.40E-02
positive regulation of protein phosphorylation (GO:0001934)	234	82	58.01	+	1.41	4.35E-04	8.49E-03
negative regulation of cell cycle process (GO:0010948)	277	97	68.67	+	1.41	1.43E-04	3.37E-03
cell surface receptor protein serine/threonine kinase signaling pathway (GO:0007178)	180	63	44.62	+	1.41	2.29E-03	3.29E-02
regulation of peptide secretion (GO:0002791)	203	71	50.33	+	1.41	1.05E-03	1.77E-02
response to tumor necrosis factor (GO:0034612)	166	58	41.15	+	1.41	3.70E-03	4.94E-02
calcium-mediated signaling (GO:0019722)	166	58	41.15	+	1.41	3.70E-03	4.93E-02
enzyme-linked receptor protein signaling pathway (GO:0007167)	630	220	156.18	+	1.41	9.10E-09	6.33E-07
regulation of inflammatory response (GO:0050727)	441	154	109.33	+	1.41	1.49E-06	6.65E-05
response to ketone (GO:1901654)	218	76	54.04	+	1.41	8.77E-04	1.54E-02
positive regulation of multicellular organismal process (GO:0051240)	1701	592	421.70	+	1.40	5.66E-22	3.05E-19
muscle organ development (GO:0007517)	319	111	79.08	+	1.40	6.18E-05	1.67E-03
regulation of mitotic cell cycle (GO:0007346)	518	180	128.42	+	1.40	2.97E-07	1.61E-05
gland development (GO:0048732)	426	148	105.61	+	1.40	3.92E-06	1.53E-04
cell surface receptor protein tyrosine kinase signaling pathway (GO:0007169)	429	149	106.35	+	1.40	3.27E-06	1.31E-04
regulation of peptide hormone secretion (GO:0090276)	199	69	49.33	+	1.40	1.67E-03	2.53E-02
regulation of peptide transport (GO:0090087)	205	71	50.82	+	1.40	1.48E-03	2.31E-02
regulation of MAPK cascade (GO:0043408)	667	231	165.36	+	1.40	7.90E-09	5.57E-07
sensory organ development (GO:0007423)	633	219	156.93	+	1.40	2.27E-08	1.44E-06
lipid catabolic process (GO:0016042)	307	106	76.11	+	1.39	1.37E-04	3.25E-03
regulation of multicellular organismal development (GO:2000026)	1428	493	354.02	+	1.39	1.56E-17	4.12E-15
regulation of cell population proliferation (GO:0042127)	1657	572	410.79	+	1.39	2.43E-20	9.55E-18
positive regulation of immune system process (GO:0002684)	1049	362	260.06	+	1.39	4.95E-13	6.20E-11
regulation of production of molecular mediator of immune response (GO:0002700)	177	61	43.88	+	1.39	3.80E-03	4.97E-02
immune response-activating signaling pathway (GO:0002757)	346	119	85.78	+	1.39	5.50E-05	1.51E-03
regulation of immune effector process (GO:0002697)	405	139	100.40	+	1.38	1.56E-05	5.09E-04
regulation of metal ion transport (GO:0010959)	347	119	86.02	+	1.38	7.24E-05	1.92E-03
cell development (GO:0048468)	2328	797	577.14	+	1.38	1.88E-27	1.71E-24
ossification (GO:0001503)	272	93	67.43	+	1.38	5.05E-04	9.58E-03
cell maturation (GO:0048469)	199	68	49.33	+	1.38	2.89E-03	4.00E-02
response to radiation (GO:0009314)	445	152	110.32	+	1.38	8.23E-06	2.95E-04
regulation of cell development (GO:0060284)	826	282	204.77	+	1.38	7.72E-10	6.00E-08
response to cytokine (GO:0034097)	885	302	219.40	+	1.38	2.11E-10	1.77E-08
regulation of monoatomic cation transmembrane transport (GO:1904062)	261	89	64.70	+	1.38	6.74E-04	1.23E-02
positive regulation of cell differentiation (GO:0045597)	857	292	212.46	+	1.37	5.34E-10	4.27E-08
lipid biosynthetic process (GO:0008610)	593	202	147.01	+	1.37	2.83E-07	1.55E-05
regulation of epithelial cell proliferation (GO:0050678)	332	113	82.31	+	1.37	1.47E-04	3.42E-03
response to peptide (GO:1901652)	900	306	223.12	+	1.37	2.32E-10	1.94E-08
regulation of mitotic cell cycle phase transition (GO:1901990)	350	119	86.77	+	1.37	1.02E-04	2.57E-03
camera-type eye development (GO:0043010)	368	125	91.23	+	1.37	7.06E-05	1.88E-03
muscle cell differentiation (GO:0042692)	289	98	71.65	+	1.37	4.51E-04	8.76E-03
mitotic cell cycle (GO:0000278)	585	198	145.03	+	1.37	6.56E-07	3.29E-05
negative regulation of cell development (GO:0010721)	275	93	68.18	+	1.36	7.14E-04	1.29E-02
regulation of monoatomic ion transmembrane transport (GO:0034765)	278	94	68.92	+	1.36	7.51E-04	1.34E-02
sensory organ morphogenesis (GO:0090596)	290	98	71.89	+	1.36	5.86E-04	1.09E-02
DNA replication (GO:0006260)	237	80	58.75	+	1.36	1.86E-03	2.77E-02
animal organ morphogenesis (GO:0009887)	990	334	245.43	+	1.36	9.54E-11	8.30E-09
regulation of lipid metabolic process (GO:0019216)	341	115	84.54	+	1.36	1.83E-04	4.19E-03
eye development (GO:0001654)	419	141	103.87	+	1.36	4.61E-05	1.30E-03
cell-cell adhesion (GO:0098609)	556	187	137.84	+	1.36	2.08E-06	8.90E-05
striated muscle cell differentiation (GO:0051146)	223	75	55.28	+	1.36	2.95E-03	4.08E-02
positive regulation of phosphorylation (GO:0042327)	256	86	63.47	+	1.36	1.67E-03	2.53E-02
cellular response to cytokine stimulus (GO:0071345)	783	263	194.11	+	1.35	1.78E-08	1.15E-06
amide metabolic process (GO:0043603)	423	142	104.87	+	1.35	4.02E-05	1.15E-03
small molecule biosynthetic process (GO:0044283)	474	159	117.51	+	1.35	1.56E-05	5.09E-04
response to light stimulus (GO:0009416)	328	110	81.31	+	1.35	3.73E-04	7.44E-03
negative regulation of cell migration (GO:0030336)	299	100	74.13	+	1.35	7.16E-04	1.29E-02
negative regulation of locomotion (GO:0040013)	332	111	82.31	+	1.35	4.04E-04	7.97E-03
visual system development (GO:0150063)	422	141	104.62	+	1.35	6.29E-05	1.69E-03
sensory system development (GO:0048880)	429	143	106.35	+	1.34	5.76E-05	1.57E-03
organic acid transport (GO:0015849)	300	100	74.37	+	1.34	9.24E-04	1.60E-02
carboxylic acid transport (GO:0046942)	300	100	74.37	+	1.34	9.24E-04	1.60E-02
neuron projection guidance (GO:0097485)	234	78	58.01	+	1.34	2.95E-03	4.08E-02
positive regulation of phosphorus metabolic process (GO:0010562)	318	106	78.84	+	1.34	6.36E-04	1.17E-02
positive regulation of phosphate metabolic process (GO:0045937)	318	106	78.84	+	1.34	6.36E-04	1.17E-02
cell surface receptor signaling pathway (GO:0007166)	2140	713	530.53	+	1.34	7.27E-21	3.20E-18
negative regulation of cell differentiation (GO:0045596)	680	226	168.58	+	1.34	4.93E-07	2.52E-05
axon guidance (GO:0007411)	232	77	57.52	+	1.34	3.63E-03	4.86E-02
cellular response to oxygen-containing compound (GO:1901701)	1059	351	262.54	+	1.34	3.64E-10	2.97E-08
response to lipid (GO:0033993)	875	290	216.92	+	1.34	1.51E-08	9.91E-07
negative regulation of cell motility (GO:2000146)	314	104	77.84	+	1.34	9.51E-04	1.62E-02
regulation of cell cycle process (GO:0010564)	770	255	190.89	+	1.34	1.22E-07	7.02E-06
regulation of multicellular organismal process (GO:0051239)	3029	1003	750.92	+	1.34	5.02E-29	5.61E-26
negative regulation of defense response (GO:0031348)	293	97	72.64	+	1.34	1.32E-03	2.08E-02
cytoskeleton organization (GO:0007010)	1311	434	325.01	+	1.34	2.62E-12	2.87E-10
organic acid biosynthetic process (GO:0016053)	287	95	71.15	+	1.34	1.49E-03	2.33E-02
cellular developmental process (GO:0048869)	3778	1250	936.61	+	1.33	3.33E-37	8.07E-34
cell differentiation (GO:0030154)	3775	1249	935.86	+	1.33	3.24E-37	9.41E-34
regulation of monoatomic ion transport (GO:0043269)	406	134	100.65	+	1.33	1.93E-04	4.39E-03
rhythmic process (GO:0048511)	267	88	66.19	+	1.33	2.65E-03	3.74E-02
positive regulation of immune effector process (GO:0002699)	267	88	66.19	+	1.33	2.65E-03	3.73E-02
cell adhesion (GO:0007155)	965	318	239.23	+	1.33	5.76E-09	4.14E-07
regulation of immune system process (GO:0002682)	1667	549	413.27	+	1.33	5.91E-15	1.03E-12
response to hypoxia (GO:0001666)	283	93	70.16	+	1.33	2.22E-03	3.20E-02
carboxylic acid biosynthetic process (GO:0046394)	283	93	70.16	+	1.33	2.22E-03	3.19E-02
vascular process in circulatory system (GO:0003018)	277	91	68.67	+	1.33	2.51E-03	3.58E-02
regulation of cell cycle phase transition (GO:1901987)	463	152	114.78	+	1.32	8.48E-05	2.20E-03
positive regulation of locomotion (GO:0040017)	594	195	147.26	+	1.32	8.57E-06	3.06E-04
regulation of protein phosphorylation (GO:0001932)	393	129	97.43	+	1.32	3.08E-04	6.46E-03
negative regulation of cell population proliferation (GO:0008285)	698	229	173.04	+	1.32	1.35E-06	6.21E-05
regulation of hormone levels (GO:0010817)	567	186	140.57	+	1.32	1.35E-05	4.47E-04
regulation of cell migration (GO:0030334)	952	312	236.01	+	1.32	1.45E-08	9.61E-07
regulation of transmembrane transport (GO:0034762)	415	136	102.88	+	1.32	2.28E-04	5.03E-03
positive regulation of cell motility (GO:2000147)	577	189	143.04	+	1.32	1.28E-05	4.25E-04
metal ion transport (GO:0030001)	655	214	162.38	+	1.32	4.00E-06	1.56E-04
positive regulation of cell migration (GO:0030335)	551	180	136.60	+	1.32	2.53E-05	7.79E-04
regulation of phosphorylation (GO:0042325)	438	143	108.58	+	1.32	1.74E-04	4.00E-03
tissue development (GO:0009888)	1798	587	445.74	+	1.32	3.95E-15	7.18E-13
regulation of cell motility (GO:2000145)	1011	330	250.64	+	1.32	8.08E-09	5.67E-07
positive regulation of developmental process (GO:0051094)	1326	432	328.73	+	1.31	4.24E-11	3.92E-09
negative regulation of response to external stimulus (GO:0032102)	418	136	103.63	+	1.31	3.04E-04	6.39E-03
cell division (GO:0051301)	523	170	129.66	+	1.31	6.01E-05	1.63E-03
cell population proliferation (GO:0008283)	563	183	139.57	+	1.31	3.06E-05	9.15E-04
response to oxygen-containing compound (GO:1901700)	1548	503	383.77	+	1.31	1.33E-12	1.56E-10
positive regulation of immune response (GO:0050778)	693	225	171.80	+	1.31	3.80E-06	1.50E-04
muscle structure development (GO:0061061)	530	172	131.39	+	1.31	5.49E-05	1.51E-03
anatomical structure development (GO:0048856)	5359	1739	1328.55	+	1.31	1.11E-49	8.05E-46
response to abiotic stimulus (GO:0009628)	1122	364	278.16	+	1.31	3.23E-09	2.34E-07
animal organ development (GO:0048513)	2930	945	726.38	+	1.30	7.10E-23	4.13E-20
regulation of cell differentiation (GO:0045595)	1576	507	390.71	+	1.30	6.08E-12	6.22E-10
regulation of locomotion (GO:0040012)	1057	340	262.04	+	1.30	3.07E-08	1.91E-06
organic acid metabolic process (GO:0006082)	827	266	205.02	+	1.30	1.15E-06	5.39E-05
fatty acid metabolic process (GO:0006631)	336	108	83.30	+	1.30	2.19E-03	3.16E-02
negative regulation of multicellular organismal process (GO:0051241)	1153	370	285.84	+	1.29	9.64E-09	6.64E-07
monocarboxylic acid metabolic process (GO:0032787)	530	170	131.39	+	1.29	1.28E-04	3.07E-03
response to bacterium (GO:0009617)	705	226	174.78	+	1.29	1.06E-05	3.62E-04
activation of immune response (GO:0002253)	409	131	101.40	+	1.29	9.48E-04	1.62E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	331	106	82.06	+	1.29	3.08E-03	4.22E-02
developmental process (GO:0032502)	5934	1899	1471.10	+	1.29	7.67E-51	1.12E-46
response to xenobiotic stimulus (GO:0009410)	400	128	99.16	+	1.29	1.03E-03	1.74E-02
lipid metabolic process (GO:0006629)	1221	390	302.70	+	1.29	5.86E-09	4.19E-07
cell migration (GO:0016477)	934	298	231.55	+	1.29	5.30E-07	2.69E-05
anatomical structure formation involved in morphogenesis (GO:0048646)	994	317	246.42	+	1.29	2.33E-07	1.28E-05
regulation of cell cycle (GO:0051726)	1106	352	274.19	+	1.28	6.01E-08	3.61E-06
positive regulation of intracellular signal transduction (GO:1902533)	1166	371	289.06	+	1.28	2.61E-08	1.64E-06
immune effector process (GO:0002252)	506	161	125.44	+	1.28	3.13E-04	6.53E-03
epithelial cell differentiation (GO:0030855)	636	202	157.67	+	1.28	5.80E-05	1.58E-03
cellular response to nitrogen compound (GO:1901699)	608	193	150.73	+	1.28	8.92E-05	2.30E-03
organic anion transport (GO:0015711)	408	129	101.15	+	1.28	1.73E-03	2.60E-02
positive regulation of signal transduction (GO:0009967)	1645	520	407.81	+	1.28	7.80E-11	7.04E-09
epithelium development (GO:0060429)	1114	352	276.17	+	1.27	1.47E-07	8.30E-06
tissue morphogenesis (GO:0048729)	599	189	148.50	+	1.27	1.45E-04	3.38E-03
oxoacid metabolic process (GO:0043436)	818	258	202.79	+	1.27	9.37E-06	3.26E-04
homeostatic process (GO:0042592)	1566	492	388.23	+	1.27	7.14E-10	5.58E-08
immune response-regulating signaling pathway (GO:0002764)	417	131	103.38	+	1.27	1.95E-03	2.88E-02
carboxylic acid metabolic process (GO:0019752)	797	250	197.58	+	1.27	1.90E-05	6.06E-04
positive regulation of defense response (GO:0031349)	466	146	115.53	+	1.26	1.34E-03	2.11E-02
positive regulation of response to external stimulus (GO:0032103)	591	185	146.52	+	1.26	2.82E-04	5.98E-03
cellular response to lipid (GO:0071396)	569	178	141.06	+	1.26	3.84E-04	7.64E-03
morphogenesis of an epithelium (GO:0002009)	480	150	119.00	+	1.26	1.30E-03	2.07E-02
response to external stimulus (GO:0009605)	2039	637	505.49	+	1.26	4.16E-12	4.39E-10
negative regulation of response to stimulus (GO:0048585)	1771	553	439.05	+	1.26	1.52E-10	1.31E-08
negative regulation of apoptotic process (GO:0043066)	897	280	222.38	+	1.26	9.12E-06	3.19E-04
regulation of immune response (GO:0050776)	1037	323	257.08	+	1.26	2.21E-06	9.28E-05
negative regulation of programmed cell death (GO:0043069)	936	291	232.04	+	1.25	8.09E-06	2.92E-04
small molecule metabolic process (GO:0044281)	1549	481	384.01	+	1.25	6.87E-09	4.87E-07
